iter	Passed	Remaining
0	231	231218
1	273	136254
2	315	104821
3	352	87838
4	363	72377
5	399	66260
6	435	61724
7	465	57674
8	495	54586
9	537	53168
10	579	52097
11	609	50194
12	638	48510
13	670	47254
14	704	46292
15	739	45473
16	775	44829
17	812	44325
18	849	43860
19	884	43321
20	918	42805
21	952	42355
22	978	41573
23	1016	41343
24	1057	41248
25	1104	41370
26	1148	41389
27	1184	41102
28	1222	40939
29	1261	40783
30	1309	40933
31	1349	40822
32	1386	40621
33	1429	40624
34	1472	40607
35	1515	40592
36	1573	40944
37	1618	40980
38	1659	40888
39	1693	40633
40	1729	40447
41	1763	40228
42	1806	40198
43	1839	39974
44	1870	39694
45	1905	39521
46	1942	39389
47	1982	39325
48	2025	39319
49	2065	39253
50	2103	39141
51	2141	39043
52	2180	38957
53	2213	38776
54	2246	38604
55	2285	38530
56	2329	38540
57	2367	38443
58	2397	38236
59	2434	38133
60	2465	37946
61	2501	37848
62	2535	37705
63	2571	37601
64	2610	37547
65	2645	37433
66	2680	37329
67	2715	37221
68	2752	37145
69	2787	37033
70	2825	36971
71	2858	36837
72	2893	36741
73	2931	36682
74	2970	36640
75	3010	36606
76	3050	36568
77	3083	36443
78	3115	36318
79	3147	36191
80	3180	36079
81	3212	35966
82	3241	35812
83	3276	35725
84	3311	35644
85	3345	35551
86	3375	35420
87	3411	35353
88	3445	35272
89	3482	35216
90	3518	35150
91	3551	35049
92	3583	34944
93	3612	34818
94	3638	34661
95	3666	34529
96	3695	34406
97	3725	34293
98	3760	34225
99	3795	34163
100	3829	34089
101	3868	34056
102	3908	34033
103	3944	33979
104	3978	33907
105	4009	33813
106	4045	33764
107	4081	33711
108	4118	33663
109	4146	33547
110	4174	33432
111	4205	33345
112	4233	33227
113	4261	33123
114	4291	33024
115	4318	32910
116	4357	32888
117	4399	32887
118	4428	32789
119	4457	32688
120	4495	32655
121	4535	32644
122	4569	32581
123	4600	32500
124	4632	32427
125	4673	32416
126	4714	32405
127	4751	32371
128	4783	32298
129	4816	32236
130	4856	32214
131	4895	32188
132	4925	32106
133	4951	31999
134	4983	31932
135	5013	31853
136	5040	31753
137	5074	31695
138	5109	31651
139	5139	31569
140	5169	31491
141	5197	31403
142	5224	31308
143	5254	31234
144	5282	31149
145	5310	31063
146	5337	30973
147	5366	30895
148	5396	30820
149	5424	30738
150	5449	30637
151	5473	30538
152	5499	30446
153	5524	30347
154	5551	30264
155	5576	30170
156	5602	30080
157	5628	29994
158	5655	29912
159	5684	29841
160	5708	29750
161	5734	29665
162	5761	29582
163	5786	29498
164	5814	29422
165	5844	29363
166	5876	29312
167	5902	29231
168	5929	29155
169	5957	29088
170	5984	29013
171	6013	28949
172	6047	28909
173	6082	28872
174	6121	28860
175	6155	28819
176	6185	28759
177	6209	28675
178	6234	28594
179	6261	28524
180	6286	28443
181	6312	28372
182	6337	28295
183	6366	28235
184	6398	28187
185	6429	28137
186	6461	28091
187	6488	28024
188	6520	27980
189	6562	27977
190	6598	27949
191	6633	27918
192	6661	27855
193	6691	27800
194	6719	27739
195	6745	27669
196	6771	27602
197	6800	27546
198	6828	27485
199	6854	27416
200	6879	27345
201	6905	27278
202	6933	27220
203	6959	27155
204	6985	27090
205	7014	27037
206	7046	26996
207	7083	26970
208	7114	26925
209	7139	26856
210	7165	26793
211	7192	26735
212	7223	26688
213	7251	26633
214	7285	26599
215	7314	26549
216	7347	26512
217	7382	26482
218	7415	26445
219	7442	26387
220	7468	26325
221	7494	26263
222	7524	26217
223	7550	26157
224	7577	26099
225	7605	26046
226	7631	25987
227	7658	25931
228	7687	25882
229	7715	25828
230	7742	25773
231	7770	25722
232	7795	25662
233	7821	25602
234	7848	25549
235	7881	25513
236	7913	25478
237	7942	25427
238	7971	25382
239	7999	25330
240	8025	25274
241	8058	25240
242	8094	25216
243	8123	25169
244	8149	25114
245	8176	25059
246	8203	25007
247	8231	24960
248	8258	24908
249	8285	24855
250	8316	24815
251	8342	24762
252	8370	24715
253	8398	24666
254	8426	24618
