iter	Passed	Remaining
0	145	145121
1	147	73671
2	149	49765
3	151	37759
4	153	30511
5	155	25714
6	157	22279
7	158	19676
8	161	17728
9	163	16162
10	165	14843
11	166	13713
12	167	12738
13	169	11903
14	170	11190
15	204	12551
16	206	11921
17	207	11329
18	208	10789
19	210	10303
20	211	9862
21	212	9463
22	214	9097
23	215	8779
24	217	8487
25	219	8214
26	220	7950
27	222	7720
28	223	7493
29	225	7279
30	226	7078
31	227	6893
32	229	6717
33	230	6545
34	233	6439
35	234	6287
36	235	6140
37	237	6008
38	238	5879
39	239	5755
40	240	5633
41	241	5519
42	242	5407
43	243	5298
44	244	5197
45	246	5102
46	246	5007
47	250	4961
48	252	4897
49	253	4817
50	254	4740
51	256	4667
52	257	4596
53	258	4526
54	259	4456
55	260	4389
56	261	4324
57	262	4260
58	263	4196
59	263	4134
60	264	4075
61	265	4017
62	266	3965
63	267	3911
64	268	3858
65	269	3807
66	269	3759
67	270	3712
68	271	3667
69	272	3623
70	273	3578
71	274	3540
72	275	3499
73	276	3460
74	277	3422
75	278	3384
76	279	3348
77	280	3310
78	280	3275
79	281	3240
80	282	3208
81	283	3175
82	284	3138
83	284	3107
84	285	3077
85	286	3046
86	287	3017
87	288	2988
88	289	2960
89	290	2933
90	290	2906
91	291	2880
92	292	2855
93	293	2829
94	294	2804
95	295	2779
96	296	2756
97	297	2734
98	297	2711
99	298	2689
100	299	2667
101	300	2645
102	301	2624
103	302	2602
104	303	2583
105	303	2563
106	304	2544
107	305	2526
108	306	2507
109	307	2490
110	308	2472
111	309	2454
112	310	2437
113	311	2420
114	312	2404
115	313	2387
116	314	2370
117	314	2353
118	315	2337
119	316	2321
120	317	2306
121	318	2289
122	318	2274
123	319	2259
124	320	2244
125	321	2229
126	322	2214
127	323	2200
128	323	2186
129	324	2172
130	325	2159
131	326	2147
132	327	2134
133	328	2121
134	329	2108
135	329	2096
136	330	2083
137	331	2071
138	332	2059
139	333	2047
140	334	2036
141	334	2022
142	335	2011
143	336	1999
144	337	1988
145	338	1977
146	338	1966
147	339	1955
148	340	1944
149	341	1935
150	342	1924
151	343	1914
152	344	1905
153	345	1895
154	346	1886
155	347	1879
156	348	1869
157	349	1860
158	350	1851
159	351	1842
160	351	1832
161	352	1823
162	353	1814
163	354	1805
164	355	1796
165	356	1788
166	357	1780
167	357	1772
168	358	1764
169	359	1757
170	360	1749
171	361	1740
172	362	1733
173	363	1725
174	364	1718
175	365	1710
176	366	1702
177	367	1695
178	367	1687
179	368	1679
180	369	1671
181	370	1664
182	371	1657
183	372	1650
184	373	1643
185	373	1636
186	374	1629
187	375	1622
188	376	1616
189	377	1609
190	378	1602
191	379	1596
192	380	1589
193	381	1582
194	381	1576
195	382	1569
196	383	1562
197	384	1556
198	385	1550
199	385	1543
200	387	1538
201	387	1532
202	388	1526
203	389	1520
204	390	1514
205	391	1508
206	392	1502
207	393	1496
208	393	1490
209	394	1485
210	395	1479
211	396	1473
212	397	1468
213	398	1462
214	399	1456
215	399	1451
216	400	1446
217	401	1441
218	402	1436
219	403	1431
220	404	1425
221	405	1420
222	406	1414
223	406	1409
224	407	1404
225	408	1399
226	409	1394
227	410	1389
228	411	1384
229	411	1379
230	412	1374
231	413	1369
232	414	1364
233	415	1359
234	416	1355
235	417	1350
236	418	1346
237	418	1341
238	419	1336
239	420	1331
240	421	1327
241	422	1322
